plant_power_kW,RO_perm_flow_gpm,UV1_flow_MGD,UV2_flow_MGD,RO_feed_flow_gpm
1323.130859,5311,5.388958454,5.279183388,8010.149902
1274.607422,5244,5.388958454,5.269203663,7992.060059
1330.13208,5230,5.388958454,5.329081059,8004.109863
1301.075195,5234,5.349040031,5.24924469,7990.279785
1379.446533,5292,5.44883585,5.329081059,8076.139648
1326.730713,5258,5.418897152,5.359019756,8022.949707
1307.526245,5234,5.398938179,5.289163113,7963.179688
104.0189819,2,0,0,3.869999886
1369.242188,5227,5.488753796,5.408917427,8075.529785
1359.073853,5230,5.368999481,5.299142361,8006.810059
1338.269531,5249,5.478774548,5.388958454,8106.399902
1332.527588,5228,5.339060783,5.239264965,7962.359863
1327.046631,5229,5.319101334,5.229285717,7992.349609
1034.087402,3480,3.562700272,3.502822876,5347.879883
956.7679443,3504,3.432965994,3.373088837,5314.069824
1728.530762,6944,7.23517561,7.155339241,10633.84961
1739.16626,6919,7.025605202,6.935789108,10581.49023
1753.302124,6969,7.255134583,7.135380268,10578.14941
1344.255371,5234,5.368999481,5.279183388,7965.469727
1716.264893,6841,7.23517561,7.03558445,10549.06934
692.2226563,1737,2.724417925,2.574724674,2704.25
1419.928711,5240,4.999755859,4.860042095,7936.359863
1729.571777,7000,7.30503273,7.155339241,10675.2998
1341.557617,5305,5.319101334,5.239264965,8179.27002
1490.188721,5205,5.4288764,5.339060783,8080.199707
1357.031616,5244,5.468794823,5.4288764,8142.97998
1368.782227,5215,5.438856125,5.349040031,8121.909668
1349.210327,5163,5.418897152,5.319101334,7972.049805
1398.213989,5116,5.398938179,5.329081059,7965.779785
1352.474487,5134,5.388958454,5.299142361,8005.72998
1321.571289,5209,5.418897152,5.329081059,8056.359863
1365.756348,5188,5.089571953,5.029694557,8026.859863
1435.615112,5121,5.388958454,5.289163113,7932.57959
1352.15918,5180,5.368999481,5.289163113,8045.129883
1670.582397,6952,7.205236912,7.215216637,10581.33008
1718.988892,6889,7.165318966,7.065523148,10504.39941
1704.322021,6873,7.185277939,7.165318966,10506.37988
1665.500732,6871,7.195257187,7.075502872,10557.25
1686.942627,6944,7.215216637,7.025605202,10507.04004
1675.159302,6865,7.155339241,7.015625477,10457.33984
1342.289063,5133,5.299142361,5.229285717,7858.75
1328.455933,5133,5.299142361,5.229285717,7845.639648
1368.734985,5183,5.408917427,5.319101334,7984.869629
1304.800415,5120,5.349040031,5.229285717,7964.359863
1346.827393,5131,5.339060783,5.269203663,7882.22998
1357.115601,5079,5.319101334,5.24924469,7866.549805
125.0596848,2,0,0,3.899999857
911.1973877,3499,3.363109112,3.39304781,5371.310059
1318.863403,5142,5.279183388,5.279183388,7867.310059
570.5174561,1699,1.896114945,1.40711689,2634.02002
1288.138672,5063,5.608508587,4.760246754,7726.540039
1284.163696,5072,5.62846756,4.8001647,7810.259766
1286.82666,5115,5.588549614,4.790185452,7827.069824
506.8796692,1759,1.896114945,1.636646628,2702.149902
1258.641724,5083,5.538651466,4.750267029,7699.689941
1254.181885,4992,5.528672218,4.750267029,7654.52002
201.7934113,2,0,0,2370.159912
1614.926514,6667,7.344950676,6.337016106,10207.75
1668.772583,6642,7.414807796,6.327036381,10249.2002
1690.568115,6591,7.404828072,6.287117958,10095.42969
1303.276367,4882,5.528672218,4.720328331,7653.97998
1287.217773,4948,5.139469624,4.29120779,7640.5
1601.458008,6628,6.875911713,6.865931988,10358.25
1641.319214,6641,6.90585041,6.865931988,10346.26953
1278.613525,5069,5.209326267,5.179387569,7763.299805
1245.934082,4964,5.179387569,5.129489899,7754.25
1654.459961,6629,6.895870686,6.875911713,10286.12988
1712.857666,6656,6.915830135,6.945768833,10433.91016
1638.609863,6754,7.005645752,7.015625477,10433.71973
1686.272705,6726,6.915830135,6.835993767,10403.96973
1628.622925,6701,6.845973015,6.935789108,10379.10938
1628.790771,6686,6.945768833,6.85595274,10411.63965
1647.896606,6605,6.845973015,6.826014042,10367.51953
912.0855103,3390,3.462904692,3.432965994,5201.389648
1040.193359,3371,3.462904692,3.432965994,5180.159668
1674.120605,6732,7.025605202,6.925809383,10320.17969
1669.074097,6683,6.935789108,6.965727806,10218.75
83.65045166,2,0,0,3.899999857
96.22770691,2,0,0,4.389999866
93.73720551,2,0,0,3.899999857
1654.134277,6745,7.03558445,6.985686779,10329.16016
1736.618896,6802,7.075502872,7.0555439,10411.2998
718.3938599,1870,1.287362337,1.3572191,2750.280029
1695.039063,6853,7.125400543,7.145359516,10579.2002
1688.284668,6875,7.145359516,7.115420818,10449.97949
1657.89856,6859,7.075502872,7.0555439,10453.33984
